Adj Close,Close,Date,High,Low,Open,Volume
68000.0,68000.0,2022-04-07,68500.0,68000.0,68500.0,20683327
67800.0,67800.0,2022-04-08,68300.0,67700.0,68100.0,15453191
67900.0,67900.0,2022-04-11,68100.0,67400.0,67800.0,12263735
67000.0,67000.0,2022-04-12,67700.0,67000.0,67600.0,13924389
68700.0,68700.0,2022-04-13,69000.0,67200.0,67300.0,17378619
67500.0,67500.0,2022-04-14,68700.0,67500.0,68700.0,16409494
66600.0,66600.0,2022-04-15,67300.0,66500.0,67200.0,13176415
66700.0,66700.0,2022-04-18,67100.0,66100.0,66500.0,10119203
67300.0,67300.0,2022-04-19,68000.0,67000.0,67100.0,12959434
67400.0,67400.0,2022-04-20,67400.0,66500.0,67000.0,16693293
67700.0,67700.0,2022-04-21,68300.0,67500.0,67600.0,12847448
67000.0,67000.0,2022-04-22,67300.0,66700.0,67200.0,11791478
66300.0,66300.0,2022-04-25,66700.0,66300.0,66500.0,11016474
66100.0,66100.0,2022-04-26,66700.0,66100.0,66400.0,12946923
65000.0,65000.0,2022-04-27,65500.0,64900.0,65400.0,18122084
64800.0,64800.0,2022-04-28,65500.0,64500.0,65400.0,16895527
67400.0,67400.0,2022-04-29,67600.0,65000.0,65100.0,26190390
67300.0,67300.0,2022-05-02,67600.0,66500.0,66600.0,14106184
67500.0,67500.0,2022-05-03,68400.0,67300.0,67400.0,14168875
67900.0,67900.0,2022-05-04,68400.0,67500.0,68000.0,11505248
66500.0,66500.0,2022-05-06,67100.0,66500.0,67000.0,14356156
65700.0,65700.0,2022-05-10,66300.0,65300.0,65900.0,17235605
65700.0,65700.0,2022-05-11,66300.0,65200.0,65500.0,12330920
64900.0,64900.0,2022-05-12,65500.0,64900.0,65200.0,16414188
66500.0,66500.0,2022-05-13,66700.0,65200.0,65300.0,14551536
66300.0,66300.0,2022-05-16,67400.0,66100.0,67100.0,11937555
67600.0,67600.0,2022-05-17,67900.0,66600.0,66600.0,15680447
68100.0,68100.0,2022-05-18,68700.0,67600.0,68300.0,16486319
67500.0,67500.0,2022-05-19,67600.0,66500.0,66500.0,17073727
68000.0,68000.0,2022-05-20,68400.0,67700.0,67800.0,12109671
67900.0,67900.0,2022-05-23,68800.0,67600.0,68800.0,13684088
66500.0,66500.0,2022-05-24,67700.0,66500.0,67500.0,15482576
66400.0,66400.0,2022-05-25,67100.0,65900.0,66700.0,15150490
65900.0,65900.0,2022-05-26,67200.0,65500.0,66300.0,15970890
66500.0,66500.0,2022-05-27,66900.0,66200.0,66700.0,11405555
67700.0,67700.0,2022-05-30,67800.0,66900.0,67500.0,14255484
67400.0,67400.0,2022-05-31,67500.0,66700.0,67500.0,24365002
66700.0,66700.0,2022-06-02,67000.0,66400.0,66600.0,14959443
66800.0,66800.0,2022-06-03,67300.0,66800.0,67200.0,8222883
65500.0,65500.0,2022-06-07,66400.0,65400.0,66200.0,19355755
65300.0,65300.0,2022-06-08,65700.0,65300.0,65400.0,12483180
65200.0,65200.0,2022-06-09,65200.0,64500.0,65100.0,25790725
63800.0,63800.0,2022-06-10,64400.0,63800.0,64000.0,22193552
62100.0,62100.0,2022-06-13,62800.0,62100.0,62400.0,22157816
61900.0,61900.0,2022-06-14,62200.0,61100.0,61200.0,24606419
60700.0,60700.0,2022-06-15,61500.0,60200.0,61300.0,26811224
60900.0,60900.0,2022-06-16,61800.0,60500.0,61300.0,23394895
59800.0,59800.0,2022-06-17,59900.0,59400.0,59400.0,29053450
58700.0,58700.0,2022-06-20,59900.0,58100.0,59800.0,34111306
58500.0,58500.0,2022-06-21,59200.0,58200.0,58700.0,25148109
57600.0,57600.0,2022-06-22,59100.0,57600.0,59000.0,23334687
57400.0,57400.0,2022-06-23,58000.0,56800.0,57700.0,28338608
58400.0,58400.0,2022-06-24,59100.0,57700.0,57900.0,23256103
